iter	Passed	Remaining
0	57	5689
1	57	2827
2	57	1873
3	58	1394
4	58	1108
5	58	918
6	58	782
7	59	680
8	59	600
9	59	536
10	59	484
11	60	440
12	60	403
13	60	372
14	60	344
15	61	320
16	61	299
17	61	280
18	61	263
19	61	247
20	62	234
21	62	221
22	62	209
23	62	199
24	63	189
25	63	180
26	63	171
27	63	163
28	63	156
29	64	149
30	64	143
31	64	137
32	64	131
33	65	126
34	65	121
35	65	116
36	65	112
37	66	107
38	66	103
39	66	99
40	66	96
41	66	92
42	67	88
43	67	85
44	67	82
45	67	79
46	68	76
47	68	73
48	68	71
49	68	68
50	68	66
51	69	63
52	69	61
53	69	59
54	69	57
55	69	54
56	70	52
57	70	50
58	70	49
59	70	47
60	71	45
61	71	43
62	71	41
63	71	40
64	71	38
65	72	37
66	72	35
67	72	34
68	72	32
69	72	31
70	73	29
71	73	28
72	73	27
73	73	25
74	73	24
75	74	23
76	74	22
77	74	21
78	74	19
79	74	18
80	75	17
81	75	16
82	75	15
83	75	14
84	76	13
85	76	12
86	76	11
87	76	10
88	76	9
89	77	8
90	77	7
91	77	6
92	77	5
93	77	4
94	78	4
95	78	3
96	78	2
97	78	1
98	78	0
99	79	0
