iter	Passed	Remaining
0	0	305
1	0	254
2	0	248
3	1	255
4	1	249
5	1	240
6	1	237
7	1	231
8	2	226
9	2	222
10	2	220
11	2	217
12	2	215
13	3	213
14	3	210
15	3	208
16	3	207
17	3	206
18	3	205
19	4	206
20	4	204
21	4	203
22	4	202
23	4	203
24	5	202
25	5	201
26	5	200
27	5	198
28	5	197
29	6	199
30	6	197
31	6	196
32	6	196
33	6	195
34	7	195
35	7	194
36	7	194
37	7	194
38	7	193
39	8	194
40	8	195
41	8	195
42	8	195
43	8	194
44	9	194
45	9	193
46	9	193
47	9	192
48	9	192
49	10	191
50	10	191
51	10	190
52	10	190
53	10	189
54	11	189
55	11	190
56	11	189
57	11	189
58	11	188
59	12	188
60	12	188
61	12	187
62	12	187
63	12	187
64	12	186
65	13	186
66	13	185
67	13	185
68	13	185
69	13	184
70	14	184
71	14	183
72	14	183
73	14	182
74	14	182
75	14	182
76	15	182
77	15	181
78	15	181
79	15	180
80	15	180
81	16	180
82	16	178
83	16	179
84	16	178
85	16	178
86	16	178
87	17	178
88	17	178
89	17	178
90	17	178
91	18	177
92	18	177
93	18	177
94	18	176
95	18	176
96	18	176
97	19	175
98	19	175
99	19	174
100	19	174
101	19	174
102	19	173
103	20	173
104	20	173
105	20	173
106	20	172
107	20	172
108	21	172
109	21	171
110	21	171
111	21	171
112	21	171
113	21	170
114	22	170
115	22	170
116	22	169
117	22	169
118	22	169
119	23	168
120	23	168
121	23	167
122	23	167
123	23	167
124	23	167
125	24	166
126	24	166
127	24	166
128	24	165
129	24	165
130	25	165
131	25	165
132	25	165
133	25	165
134	25	165
135	26	165
136	26	164
137	26	164
138	26	165
139	26	164
140	27	164
141	27	164
142	27	164
143	27	164
144	27	164
145	28	163
146	28	163
147	28	163
148	28	163
149	28	162
150	28	162
151	29	162
152	29	162
153	29	161
154	29	161
155	29	161
156	30	161
157	30	161
158	30	160
159	30	160
160	30	160
161	30	159
162	31	159
163	31	159
164	31	159
165	31	158
166	31	158
167	32	158
168	32	158
169	32	158
170	32	158
171	32	158
172	33	158
173	33	158
174	33	158
175	33	157
176	33	157
177	34	157
178	34	157
179	34	156
180	34	156
181	34	156
182	35	156
183	35	156
184	35	155
185	35	155
186	35	155
187	35	155
188	36	154
189	36	154
190	36	154
191	36	154
192	36	153
193	37	153
194	37	153
195	37	153
196	37	153
197	37	152
198	37	152
199	38	152
200	38	152
201	38	151
202	38	151
203	38	151
204	39	151
205	39	151
206	39	151
207	39	150
208	39	150
209	40	150
210	40	150
211	40	150
212	40	150
213	40	149
214	40	149
215	41	149
216	41	149
217	41	148
218	41	148
219	41	148
220	42	148
221	42	148
222	42	147
223	42	147
224	42	147
225	42	147
226	43	147
227	43	146
228	43	146
229	43	146
230	43	146
231	44	145
232	44	145
233	44	145
234	44	145
235	44	145
236	45	144
237	45	144
238	45	144
239	45	144
240	45	143
241	45	143
242	46	143
243	46	143
244	46	143
245	46	142
246	46	142
247	47	142
248	47	142
249	47	142
250	47	141
251	47	141
252	48	141
253	48	141
254	48	141
255	48	141
256	48	141
257	48	140
258	49	140
259	49	140
260	49	140
261	49	140
262	49	139
263	50	139
264	50	139
265	50	139
266	50	139
267	50	138
268	51	138
269	51	138
270	51	138
271	51	138
272	51	137
273	51	137
274	52	137
275	52	137
276	52	136
277	52	136
278	52	136
279	53	136
280	53	136
281	53	135
282	53	135
283	53	135
284	53	135
285	54	135
286	54	134
287	54	134
288	54	134
289	54	134
290	55	134
291	55	134
292	55	133
293	55	133
294	55	133
295	55	133
296	56	132
297	56	132
298	56	132
299	56	132
300	56	132
301	57	132
302	57	131
303	57	131
304	57	131
305	57	131
306	58	131
307	58	130
308	58	130
309	58	130
310	58	130
311	59	130
312	59	129
313	59	129
314	59	129
315	59	129
316	59	129
317	60	128
318	60	128
319	60	128
320	60	128
321	60	128
322	61	127
323	61	127
324	61	127
325	61	127
326	61	127
327	61	126
328	62	126
329	62	126
330	62	126
331	62	125
332	62	125
333	62	125
334	63	125
335	63	125
336	63	125
337	63	124
338	63	124
339	64	124
340	64	124
341	64	124
342	64	123
343	64	123
344	65	123
345	65	123
346	65	123
347	65	122
348	65	122
349	65	122
350	66	122
351	66	122
352	66	121
353	66	121
354	66	121
355	67	121
356	67	121
357	67	120
358	67	120
359	67	120
360	67	120
361	68	120
362	68	119
363	68	119
364	68	119
365	68	119
366	69	119
367	69	118
368	69	118
369	69	118
370	69	118
371	69	118
372	70	117
373	70	117
374	70	117
375	70	117
376	70	117
377	70	116
378	71	116
379	71	116
380	71	116
381	71	116
382	71	115
383	72	115
384	72	115
385	72	115
386	72	115
387	72	114
388	73	114
389	73	114
390	73	114
391	73	114
392	73	113
393	73	113
394	74	113
395	74	113
396	74	113
397	74	112
398	74	112
399	74	112
400	75	112
401	75	112
402	75	112
403	75	111
404	75	111
405	76	111
406	76	111
407	76	111
408	76	110
409	76	110
410	77	110
411	77	110
412	77	110
413	77	109
414	77	109
415	77	109
416	78	109
417	78	108
418	78	108
419	78	108
420	78	108
421	78	108
422	79	108
423	79	107
424	79	107
425	79	107
426	79	107
427	80	107
428	80	106
429	80	106
430	80	106
431	80	106
432	81	106
433	81	105
434	81	105
435	81	105
436	81	105
437	81	105
438	82	104
439	82	104
440	82	104
441	82	104
442	82	104
443	83	104
444	83	103
445	83	103
446	83	103
447	83	103
448	83	103
449	84	102
450	84	102
451	84	102
452	84	102
453	84	102
454	85	101
455	85	101
456	85	101
457	85	101
458	85	101
459	86	101
460	86	100
461	86	100
462	86	100
463	86	100
464	87	100
465	87	100
466	87	99
467	87	99
468	87	99
469	88	99
470	88	99
471	88	98
472	88	98
473	88	98
474	88	98
475	89	98
476	89	97
477	89	97
478	89	97
479	89	97
480	90	97
481	90	97
482	90	96
483	90	96
484	90	96
485	91	96
486	91	96
487	91	95
488	91	95
489	91	95
490	91	95
491	92	95
492	92	94
493	92	94
494	92	94
495	92	94
496	93	94
497	93	94
498	93	93
499	93	93
500	93	93
501	93	93
502	94	93
503	94	92
504	94	92
505	94	92
506	94	92
507	95	92
508	95	91
509	95	91
510	95	91
511	95	91
512	96	91
513	96	91
514	96	90
515	96	90
516	97	90
517	97	90
518	97	90
519	97	90
520	97	90
521	98	89
522	98	89
523	98	89
524	98	89
525	98	89
526	99	88
527	99	88
528	99	88
529	99	88
530	99	88
531	99	87
532	100	87
533	100	87
534	100	87
535	100	87
536	100	86
537	101	86
538	101	86
539	101	86
540	101	86
541	101	86
542	101	85
543	102	85
544	102	85
545	102	85
546	102	85
547	103	85
548	103	85
549	103	85
550	104	84
551	104	84
552	104	84
553	104	84
554	104	84
555	105	83
556	105	83
557	105	83
558	105	83
559	105	83
560	106	83
561	106	82
562	106	82
563	106	82
564	106	82
565	107	82
566	107	81
567	107	81
568	107	81
569	107	81
570	107	81
571	108	80
572	108	80
573	108	80
574	108	80
575	108	80
576	109	79
577	109	79
578	109	79
579	109	79
580	109	79
581	109	78
582	110	78
583	110	78
584	110	78
585	110	78
586	110	78
587	111	77
588	111	77
589	111	77
590	111	77
591	112	77
592	112	77
593	113	77
594	113	77
595	113	76
596	113	76
597	113	76
598	114	76
599	114	76
600	114	75
601	114	75
602	114	75
603	114	75
604	115	75
605	115	74
606	115	74
607	115	74
608	115	74
609	116	74
610	116	73
611	116	73
612	116	73
613	116	73
614	116	73
615	117	72
616	117	72
617	117	72
618	117	72
619	117	72
620	118	72
621	118	71
622	118	71
623	118	71
624	118	71
625	119	71
626	119	70
627	119	70
628	119	70
629	119	70
630	119	70
631	120	69
632	120	69
633	120	69
634	120	69
635	120	69
636	121	68
637	121	68
638	121	68
639	121	68
640	121	68
641	121	68
642	122	67
643	122	67
644	122	67
645	122	67
646	122	67
647	123	66
648	123	66
649	123	66
650	123	66
651	123	66
652	124	65
653	124	65
654	124	65
655	124	65
656	124	65
657	124	64
658	125	64
659	125	64
660	125	64
661	125	64
662	125	63
663	126	63
664	126	63
665	126	63
666	126	63
667	126	63
668	127	62
669	127	62
670	127	62
671	127	62
672	127	62
673	128	61
674	128	61
